HAB_rt_target,Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
0,SIO,32.867,-117.257,,20091207,2009-12-07T17:34:00Z,15.4,,,100,1.95,1.98,1.96,0.92,1.22,1.07,0.46,3.5,0,,0.34,1.19,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20091214,2009-12-14T17:15:00Z,15.4,,,100,0.81,0.84,0.83,0.67,0.65,0.66,0.47,3.2,0,,0.87,0.96,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20091221,2009-12-21T17:15:00Z,15.2,,,100,1.19,1.12,1.16,0.73,0.69,0.71,0.42,3.5,0,,1.05,0.75,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20091228,2009-12-28T17:09:00Z,14.8,,,100,1.77,1.69,1.73,0.67,0.7,0.69,0.44,3.3,0,,0.66,1.07,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100104,2010-01-04T16:09:00Z,14.7,,,100,1.86,1.64,1.75,0.67,0.86,0.77,0.46,3.9,0,,0.49,1.27,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100111,2010-01-11T16:09:00Z,15.1,,,100,0.82,0.79,0.8,0.47,0.46,0.47,0.41,3.3,0,,0.91,0.75,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100119,2010-01-19T16:11:00Z,15.2,,,100,0.91,0.86,0.88,0.54,0.65,0.59,0.31,3.2,0,,1.01,0.54,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100125,2010-01-25T16:09:00Z,15,,,100,0.82,0.85,0.84,0.49,0.51,0.5,0.37,3.7,0,,1.56,0.76,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100201,2010-02-01T16:09:00Z,15.1,,,100,2.17,2.26,2.21,0.68,0.8,0.74,0.29,3.5,0,,0.21,0.43,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100208,2010-02-08T16:15:00Z,14.9,,,100,1.26,1.15,1.2,0.72,0.7,0.71,0.33,3.4,0,,0.71,0.7,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100216,2010-02-16T16:09:00Z,15.2,,,100,1.58,1.5,1.54,0.72,0.6,0.66,0.25,3.3,0,,0,0,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100222,2010-02-22T16:09:00Z,15.6,,,100,0.91,0.98,0.95,0.46,0.44,0.45,0.27,2.9,0,,0.87,0,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100301,2010-03-01T16:09:00Z,15.4,,,100,2.96,2.88,2.92,0.56,0.55,0.56,0.27,3.3,0,,0.41,0.39,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100308,2010-03-08T16:15:00Z,15.4,,,100,1.25,1.23,1.24,0.59,0.6,0.6,0.24,2.8,0,,0.62,0.25,200,0,,,,,,,,,,,,,,,,
1,SIO,32.867,-117.257,,20100315,2010-03-15T15:15:00Z,14.3,,,100,8.43,8.29,8.36,1.36,1.46,1.41,0.37,6.2,0,,0.47,2.21,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100322,2010-03-22T15:09:00Z,15.7,,,100,2.08,2.16,2.12,0.72,0.66,0.69,0.16,0,0,,1.19,0.25,200,0.19,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100329,2010-03-29T15:44:00Z,16.6,,,100,2.05,2.1,2.08,0.13,0.11,0.12,0.16,0,0,,0.21,0,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100405,2010-04-05T16:05:00Z,16.1,,,100,3.23,3.12,3.17,0.76,0.76,0.76,0.24,3.1,0,,0.49,0.34,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100412,2010-04-12T15:30:00Z,15.8,,,100,2.24,2.28,2.26,0.45,0.54,0.49,0.24,2.9,0,,1.08,0.21,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100419,2010-04-19T15:05:00Z,16.7,,,100,2.39,2.4,2.39,0.37,0.41,0.39,0.31,3.1,0,,1.89,0.35,200,0,,,,,,,,,,,,,,,,
1,SIO,32.867,-117.257,,20100426,2010-04-26T16:15:00Z,14.8,,,100,20.5,20.41,20.46,0,0,0,0.37,8.1,0,,0.81,0.56,200,0.08,,,,,,,,,,,,,,,,
1,SIO,32.867,-117.257,,20100503,2010-05-03T16:15:00Z,15.7,,,100,20.29,20.63,20.46,0.83,0,0.14,0.18,1.4,0,,1.01,0.24,200,0.087,,,,,,,,,,,,,,,,
1,SIO,32.867,-117.257,,20100510,2010-05-10T16:19:00Z,16.7,,,100,10.06,8.99,9.53,0,0.87,0.12,0.2,1.9,0,,0.61,0.2,200,0,,,,,,,,,,,,,,,,
1,SIO,32.867,-117.257,,20100517,2010-05-17T17:15:00Z,16.8,,,100,18.6,17.92,18.26,0.45,0.78,0.61,0.18,2,0,,0.55,0,200,0.12,,,,,,,,,,,,,,,,
1,SIO,32.867,-117.257,,20100524,2010-05-24T16:15:00Z,16.9,,,100,10.79,11.37,11.08,0.54,0.32,0.43,0.29,4.9,0,,0.44,0.68,200,0.044,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100531,2010-05-31T16:16:00Z,17.1,,,100,4.12,4.1,4.11,0.39,0.49,0.44,0.21,4.4,0,,0.41,0,200,0.061,,,,,,,,,,,,,,,,
1,SIO,32.867,-117.257,,20100608,2010-06-08T15:09:00Z,18.9,,,100,19.21,18.6,18.91,0.06,0.29,0.17,0.15,4,0,,0.5,0,200,0.053,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100614,2010-06-14T16:05:00Z,19.6,,,100,5.44,5.3,5.37,0.22,0.36,0.29,0.18,3.6,0,,0.55,0.2,200,0.05,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100621,2010-06-21T15:55:00Z,20.1,,,100,1.56,1.57,1.56,0.35,0.38,0.36,0.15,3.2,0,,0.46,0.29,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100628,2010-06-28T16:05:00Z,20.3,,,100,4.41,4.35,4.38,0.41,0.43,0.42,0,1.4,0,,0.54,0.24,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100705,2010-07-05T16:30:00Z,18.9,,,100,3.42,3.32,3.37,0.28,0.3,0.29,0.11,0,0,,0.2,0,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100713,2010-07-13T17:19:00Z,17.2,,,100,2.03,1.98,2.01,0.67,0.72,0.69,0.38,5.5,0,,0.51,1.55,200,0.08,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100719,2010-07-19T17:09:00Z,17.5,,,100,2.97,2.84,2.9,0.73,0.77,0.75,0.31,6.1,0,,0.72,0.92,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100726,2010-07-26T16:00:00Z,19.4,,,100,1.63,1.65,1.64,0.64,0.63,0.64,0.19,1.5,0,,0.56,0.29,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100802,2010-08-02T16:19:00Z,19.3,,,100,1.68,1.83,1.75,0.85,0.73,0.79,0.21,3.5,0,,0.58,0.22,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100809,2010-08-09T16:19:00Z,20.2,,,100,2.24,2.2,2.22,0.61,0.66,0.63,0.16,2.6,0,,0.51,0,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100816,2010-08-16T15:55:00Z,15.4,,,100,4.19,4.1,4.14,1.78,1.93,1.86,0.35,6,0,,1.91,1.81,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100823,2010-08-23T16:55:00Z,19.1,,,100,1.77,1.77,1.77,0.62,0.6,0.61,0.27,4.4,0.02,,0.63,0.14,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100830,2010-08-30T16:25:00Z,19.4,,,100,0.92,0.92,0.92,0.17,0.2,0.19,0.24,2.2,0,,1.87,0.23,200,0.048,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100906,2010-09-06T15:44:00Z,17.5,,,100,3.03,3.04,3.03,0.41,0.42,0.42,0.22,2.1,0,,0.32,0.33,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100913,2010-09-13T16:05:00Z,17.5,,,100,1.63,1.59,1.61,0.48,0.51,0.49,0.38,4.9,0,,2.46,0.55,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100920,2010-09-20T16:55:00Z,16.6,,,100,4.69,4.64,4.67,1.41,1.51,1.46,0.38,5.9,0,,0.75,1.58,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20100927,2010-09-27T16:05:00Z,17.4,,,100,2.38,2.35,2.37,0.71,0.71,0.71,0.28,5.2,0,,1.65,0.45,200,0,,,,,,,,,,,,,,,,
1,SIO,32.867,-117.257,,20101004,2010-10-04T16:25:00Z,20,,,100,15.93,17.6,16.77,0.47,0.29,0.38,0.16,2.8,0,,0.79,0.26,200,0,,,,,,,,,,,,,,,,
1,SIO,32.867,-117.257,,20101011,2010-10-11T15:30:00Z,19.2,,,100,7.52,7.48,7.5,0.42,0.52,0.47,0.22,3,0,,0.26,0.39,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20101018,2010-10-18T15:44:00Z,18.9,,,100,4.85,4.66,4.75,0.52,0.6,0.56,0.15,2.5,0,,0,0.22,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20101025,2010-10-25T16:00:00Z,18.9,,,100,3.03,2.98,3.01,1.03,1.08,1.06,0.18,3.7,0,,0.87,0.33,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20101101,2010-11-01T16:00:00Z,18.3,,,100,2.78,2.78,2.78,0.54,0.59,0.56,0.15,1.9,0,,0,0,200,0.087,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20101108,2010-11-08T17:00:00Z,18.3,,,100,1.75,1.66,1.7,0.38,0.52,0.45,0.15,1.7,0,,0,0.33,200,0.1,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20101115,2010-11-15T16:50:00Z,16.3,,,100,1.54,1.62,1.58,0.81,0.75,0.78,0.42,3.5,0,,1.64,0.73,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20101122,2010-11-22T17:30:00Z,16,,,100,1.28,1.34,1.31,1.13,1.07,1.1,0.43,5.2,0,,2.01,0.93,200,0,,,,,,,,,,,,,,,,
1,SIO,32.867,-117.257,,20101129,2010-11-29T17:25:00Z,13.8,,,100,10.1,10.15,10.13,0.87,0.99,0.93,0.49,6.4,0,,0.87,0.55,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20101206,2010-12-06T16:19:00Z,14,,,100,5.63,5.54,5.59,0.62,0.83,0.72,0.32,2.9,0,,1.2,0.4,200,0,,,,,,,,,,,,,,,,
1,SIO,32.867,-117.257,,20101213,2010-12-13T17:55:00Z,13.7,,,100,10.62,10.9,10.76,0,0,0,0.28,2.8,0,,1.2,0.32,200,0.041,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20101220,2010-12-20T18:44:00Z,15.1,,,100,3.09,3.11,3.1,0.16,0.22,0.19,0.27,1.9,0,,0.64,0,200,0,,,,,,,,,,,,,,,,
1,SIO,32.867,-117.257,,20101227,2010-12-27T20:50:00Z,15.3,,,100,7.45,6.8,7.12,0,0,0,0.37,2.5,0,,0.79,0.21,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20110103,2011-01-03T16:55:00Z,14.7,,,100,1.43,1.43,1.43,0.32,0.37,0.34,0.49,4.1,0,,2.95,1.4,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20110110,2011-01-10T18:19:00Z,14.2,,,100,3.51,3.58,3.54,0.69,0.59,0.64,0.37,3.6,0,,1.74,1.04,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20110118,2011-01-18T17:55:00Z,14.3,,,100,4.98,4.98,4.98,0.42,0.65,0.53,0.29,4.3,0,,0.77,1.26,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20110124,2011-01-24T17:50:00Z,14.2,,,100,2.99,3.02,3.01,0.36,0.42,0.39,0.3,2.6,0,,0.52,0.86,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20110131,2011-01-31T17:05:00Z,14.3,,,100,5.03,5.08,5.05,1.13,1.29,1.21,0.21,1.1,0,,0.59,0,200,0.041,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20110207,2011-02-07T17:25:00Z,14.3,,,100,3.98,4.1,4.04,1.17,1.34,1.25,0.19,0,0,,0.72,0.34,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20110214,2011-02-14T17:55:00Z,14.4,,,100,2.8,2.82,2.81,0.9,1.02,0.96,0.22,1.1,0,,0.79,0.26,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20110222,2011-02-22T17:36:00Z,14.2,,,100,2.27,2.28,2.28,0.45,0.52,0.49,0.19,0,0,,0.82,0,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20110228,2011-02-28T17:40:00Z,14.3,,,100,1.37,1.41,1.39,0.3,0.34,0.32,0.25,2.1,0,,0.82,0.33,200,0,,,,,,,,,,,,,,,,
0,SIO,32.867,-117.257,,20110307,2011-03-07T18:05:00Z,14.2,,,100,4.08,4.05,4.06,2.22,2.25,2.23,0.43,4.5,0,,2.04,2.13,200,0,,,,,,,,,,,,,,,,
